company_id,status,file
SHRIRAMFIN,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\SHRIRAMFIN_tearsheet.pdf
SIEMENS,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\SIEMENS_tearsheet.pdf
SUNPHARMA,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\SUNPHARMA_tearsheet.pdf
TATACONSUM,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\TATACONSUM_tearsheet.pdf
TATAMOTORS,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\TATAMOTORS_tearsheet.pdf
TATAPOWER,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\TATAPOWER_tearsheet.pdf
TATASTEEL,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\TATASTEEL_tearsheet.pdf
TCS,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\TCS_tearsheet.pdf
TECHM,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\TECHM_tearsheet.pdf
TITAN,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\TITAN_tearsheet.pdf
TORNTPHARM,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\TORNTPHARM_tearsheet.pdf
TRENT,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\TRENT_tearsheet.pdf
TVSMOTOR,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\TVSMOTOR_tearsheet.pdf
